Alias,Role,Hero Pool,Team,Years
KariV,Flex Support,Moira\Ana\Zenyatta\Baptiste,@TorontoDefiant,
Kellex,Main Support,Lucio\Brigitte\Baptiste\Mercy,@TorontoDefiant,
kevster,Flex DPS,Genji\Tracer. Sombra\Mei\Echo\Widowmaker\Pharah\Ashe\Symmetra,@LAGladiators,
KodaK,Flex Support,Moira\Zenyatta\Brigitte,@ATLReign,
Krillin,Flex Support,Zenyatta\Ana\Moira\Baptiste\Mercy,@Spitfire,
Kris,Main Support,Lucio\Brigitte\Mercy\Baptiste,@FLMayhem,
Kruise,Main Support,Brigitte\Lucio\Baptiste\Mercy,@TorontoDefiant,
Krystal,Flex DPS,Genji\Tracer\McCree\Widowmaker,@GZCharge,2019
KSAA,Off Tank,D.Va\Zarya\Sigma,@VancouverTitans,
KSF,Projectile,Genji\Mei\Sombra\Torbjorn\Doomfist\Tracer\Symmetra,@LAValiant,
KSP,Hitscan,Ashe\McCree\Reaper\Widowmaker\Echo\Sombra\Tracer\Junkrat\Hanzo\Soldier: 76,@LAValiant,
Kyo,Flex Support,Ana\Zenyatta\Baptiste\Moira,@ChengduHunters,2020\2019
Lastro,Flex Support,Zenyatta\Moira\Ana\Baptiste\Brigitte,@LAValiant,
LateYoung,Off Tank,Zarya\D.Va\Roadhog,@ChengduHunters,2020\2019
Leave,Flex DPS,Genji\Widowmaker\Tracer\Doomfist\Ashe\Echo\Sombra\Reaper\McCree\Soldier: 76\Hanzo,@ChengduHunters,2020
LeeJaeGon,Main Support,Lucio\Mercy\Brigitte\Baptiste,@ShanghaiDragons,2020
Lengsa,Main Support,Lucio\Brigitte\Baptiste,@ChengduHunters,2020
LhCloudy,Main Tank,Winston\Reinhardt\Orisa,@LAGladiators,
Libero,Projectile,Mei\Echo\Sombra\McCree\Brigitte\Ashe\Doomfist\Torbjorn\Soldier: 76\Widowmaker,@NYXL,
LiNKzr,Hitscan,Ashe\Widowmaker\McCree\Hanzo\Symmetra\Genji\Tracer,@Outlaws,
LIP,Hitscan,Sombra\Widowmaker\Ashe\McCree\Hanzo\Tracer\Reaper\Doomfist\Symmetra\Torbjorn,@ShanghaiDragons,2020
Logix,Hitscan,Ashe\Reaper\Tracer\Symmetra\McCree\Widowmaker\Sombra\Torbjorn,@TorontoDefiant,
Lr1s,Flex Support,Baptiste\Moira\Zenyatta,@ATLReign,
Luffy,Flex Support,Mercy\Ana\Zenyatta\Baptiste,@ShanghaiDragons,2020\2019
M1ka,Main Support,Mercy\Lucio\Brigitte\Baptiste,@Hangzhou_Spark,2020
Mandu,Main Support,Lucio\Mercy,@NYXL,
Mano,Main Tank,Winston\Orisa\Reinhardt\Wrecking Ball,@NYXL,
Marve1,Main Tank,Winston\Reinhardt\Wrecking Ball\Sigma\D.Va\Zarya,@SeoulDynasty,2020\2019
Masaa,Main Support,Lucio\Mercy\Brigitte\Baptiste\Zenyatta,@ATLReign,
McGravy,Flex Tank,D.Va\Sigma\Zarya\Wrecking Ball,@LAValiant,
MekO,Off Tank,D.Va\Sigma\Zarya\Orisa\Wrecking Ball,@Outlaws,
Michelle,Off Tank,Zarya\D.Va\Roadhog\Sigma,@SeoulDynasty,2020\2019
mikeyy,Main Tank,Wrecking Ball\Reinhardt\Orisa,@BostonUprising,
MirroR,Flex DPS,Echo\Zarya\Doomfist\Sombra\Torbjorn\Mei\Junkrat\Baptiste\Pharah\Brigitte\Tracer\Genji\Roadhog,@LAGladiators,
Molly,Flex Support,Zenyatta\Ana\Moira\Baptiste\Brigitte,@ChengduHunters,2020
moth,Main Support,Mercy\Lucio\Zenyatta\Baptiste\Brigitte,@SFShock,
Muma,Main Tank,Reinhardt\Winston\Origa\Wrecking Ball,@Outlaws,
Myunbong,Flex Support,Zenyatta\Ana\Moira\Baptiste,@BostonUprising,
Nenne,Hitscan,Ashe\McCree\Tracer\Sombra\Reaper\Widowmaker\Soldier: 76,@NYXL,
neptuNo,Main Support,Mercy\Lucio\Brigitte\Baptiste,@GZCharge,2020\2019\2018
nero,Projectile,Genji\Pharah\Hanzo\Junkrat\Sombra\Mei\Reaper\Tracer\Brigitte\Echo\Torbjorn\Doomfist\Zarya\Roadhog,@GZCharge,2020\2019
Nevix,Flex Tank,Sigma\D.Va\Zarya\Orisa,@TorontoDefiant,
NiCOgdh,Flex DPS,Mei\Echo\Reaper\Doomfist\Sombra\Tracer,@ParisEternal,
NoSmite,Main Tank,Winston\Reinhardt\Orisa\Wrecking Ball,@ParisEternal,
NotE,Off Tank,D.Va\Zarya\Roadhog\Sigma\Orisa,@DallasFuel,
numlocked,Main Tank,Orisa\Winston\Reinhardt,@TorontoDefiant,
OGE,Main Tank,Winston\Reinhardt\Orisa\Wrecking Ball\Roadhog,@LAGladiators,
Onigod,Hitscan,Widowmaker\Tracer\Soldier: 76\Reaper\Ashe\McCree\Symmetra,@DallasFuel,
Paintbrush,Main Support,Lucio\Mercy\Brigitte\Baptiste,@DallasFuel,
Poko,Off Tank,D.Va\Zarya\Sigma\Orisa,@Fusion,
Pokpo,Main Tank,Winston\Reinhardt\Orisa\Wrecking Ball,@ATLReign,
Profit,Flex DPS,Tracer\Mei\Ashe\Genji\Echo\Pharah\Reaper\Sombra\Torbjorn\Zarya\Widowmaker\Hanzo\Soldier: 76,@SeoulDynasty,2020\2019\2018
Punk,Off Tank,D.Va\Zarya\Roadhog\Sigma\Orisa,@BostonUprising,
QoQ,Off Tank,D.Va\Zarya\Sigma\Wrecking Ball,@Hangzhou_Spark,2020
RaiN,Main Support,Lucio\Mercy\Baptiste\Brigitte,@LAValiant,
Rapel,Flex Support,Baptiste\Ana\Zenyatta\Moira,@Outlaws,
Rascal,Flex DPS,Echo\Mei\Genji\Torbjorn\Sombra\Brigitte\Pharah\Junkrat,@SFShock,
Ria,Off Tank,D.Va\Zarya\Roadhog,@Hangzhou_Spark,2020\2019
Rio,Main Tank,Winston\Reinhardt\Orisa\Wrecking Ball\Sigma,@GZCharge,2020\2019
rOar,Main Tank,Winston\Reinhardt\Orisa\Wrecking Ball,@WashJustice,
RoKy,Main Support,Lucio\Mercy\Baptiste,@TorontoDefiant,
Roolf,Flex Support,Daptiste\Moira\Zenyatta\Ana,@VancouverTitans,
SADO,Main Tank,Winston\Reinhardt\Orisa\Roadhog\Wrecking Ball,@Fusion,
Saebyeolbe,Hitscan,Tracer\Sombra\Widowmaker\McCree\Ashe\Reaper\Soldier: 76,@NYXL,
SanGuiNar,Main Support,Lucio\Mercy\Brigitte\Zenyatta\Baptiste,@Spitfire,
SASIN ,Flex Tank,Pharah\D.Va\Zarya\Sigma,@Hangzhou_Spark,2020\2019
Sayaplayer,Hitscan,Widowmaker\Ashe\Tracer\Hanzo\McCree\Reaper\Soldier: 76,@FLMayhem,
Schwi,Projectile,Mei\Genji\Echo\Pharah\Sombra,@Spitfire,
SharP,Hitscan,Reaper\Sombra\Echo\Ashe\Tracer,@ATLReign,
Shax,Hitscan,Tracer\Reaper\Torbjorn\Echo\Pharah\Symmetra,@LAValiant,
Shaz,Flex Support,Zenyatta\Moira\Ana\Baptiste,@LAGladiators,
sHockWave,Hitscan,Ashe\Echo\Widowmaker\McCree\Tracer\Hanzo\Mei\Doomfist\Junkrat,@VancouverTitans,
